code,item,cost,type
01SV-001,Ordinary Service I 常规保养I,450,Ordinary Service常规保养
01SV-001-01,Replace engine oil 更换发动机机油,-,Ordinary Service常规保养
01SV-001-02,Replace oil filter 更换机油滤芯,-,Ordinary Service常规保养
01SV-001-03,Replace air filter 更换空气滤芯,-,Ordinary Service常规保养
01SV-001-04,Clean air filter 清洁空气滤芯,-,Ordinary Service常规保养
01SV-001-05,Replace A/C filter 更换空调滤芯,-,Ordinary Service常规保养
01SV-001-06,Clean A/C filter 清洁空调滤芯,-,Ordinary Service常规保养
01SV-001-07,"Service reset & clear the fault codes
保养重置/复位及清码",-,Ordinary Service常规保养
01SV-002,Ordinary Service II 常规保养II,580,Ordinary Service常规保养
01SV-003,Ordinary Service III 常规保养III,880,Ordinary Service常规保养
02EN-001,Top up engine oil 补充机油,0,oil 机油
02EN-002,Check for the oil leakage 检查漏油,200,leakage 漏油
02EN-003,Repair the engine oil leakage 维修发动机漏油,200,leakage 漏油
02EN-004,Remove to clean oil sump and fit it back 拆装清洗油底壳,200,oil sump 油底壳
02EN-005,Remove to clean the oil strainer and fit it back 拆装清洗机油滤网,350,oil sump 油底壳
02EN-006,Seal the oil sump 油底壳打胶密封,350,oil sump 油底壳
02EN-007,Replace draining plug 更换油底壳螺丝,350,oil sump 油底壳
02EN-008,Replace the oil sump screw washer 更换油底壳螺丝垫片,350,oil sump 油底壳
02EN-009,Repair the oil sump 维修油底壳,100,oil sump 油底壳
02EN-010,Clean the diesel filter 清洗柴油滤芯  ,100,fuel filter燃油滤芯
02EN-011,Replace the diesel filter 更换柴油滤芯  ,100,fuel filter燃油滤芯
02EN-012,Replace the petrol filter 更换汽油滤芯 ,100,fuel filter燃油滤芯
02EN-013,Clean the fuel filter shell 清洗燃油滤芯壳子,100,fuel filter燃油滤芯
02EN-014,Replace the fuel filter 更换燃油滤芯,100,fuel filter燃油滤芯
02EN-015,Replace the inner fuel filter 更换内置燃油过滤器,350,fuel filter燃油滤芯
02EN-016,Remove to clean the throttle body and fit it back 拆装清洗节气门总成,350,throttle 节气门
02EN-017,Replace the throttle body complete 更换节气门总成,180,throttle 节气门
02EN-018,Remove to test the injectors and fit them back 拆装检测喷油嘴,180,injectors 喷油嘴
02EN-019,Remove to clean the injectiors and fit them back 拆装清洗喷油嘴,180,injectors 喷油嘴
02EN-020,Test the injector nozzles with machine 检测喷油嘴,180,injectors 喷油嘴
02EN-021,Calibration of the injector nozzles 调校喷油嘴,180,injectors 喷油嘴
02EN-022,Repair the injector nozzles 维修喷油嘴,180,injectors 喷油嘴
02EN-023,Replace the injector nozzles 更换喷油嘴,500,injectors 喷油嘴
02EN-024,Replace the gasket nozzle holder 更换喷油嘴胶圈,500,injectors 喷油嘴
02EN-025,Replace seals nozzle holder 更换喷油嘴进油管油封,150,injectors 喷油嘴
02EN-026,Replace washers of injector fuel pipe 更换喷油嘴回油管垫片,150,injectors 喷油嘴
02EN-027,Replace the screw of injector fuel pipe 更换喷油嘴油管螺丝,180,injectors 喷油嘴
02EN-028,Replace the injector driver 更换喷油嘴驱动板,180,injectors 喷油嘴
02EN-029,Brazing the injector fuel pipe 喷油嘴回油管焊接,350,fuel pipe 油管
02EN-030,Repair the fuel return pipe 维修回油管,350,fuel pipe 油管
02EN-031,Replace the fuel pipe 更换燃油管,300,fuel pipe 油管
02EN-032,Repair the fuel pipe leakage 维修油管漏油,300,fuel pipe 油管
02EN-033,Replace the washers 更换油管垫片,300,fuel pipe 油管
02EN-034,Remove to test the common rail and fit it back 拆装检测共轨器,300,common rail 共轨器
02EN-035,Test the common rail 检测共轨器,300,common rail 共轨器
02EN-036,Replace the common rail 更换共轨器,300,common rail 共轨器
02EN-037,Remove to test the fuel pump and fit it back 拆装检测油泵,, fuel pump油泵
02EN-038,Calibration of high pressure pump 调校高压油泵,, fuel pump油泵
02EN-039,Deal with the high pressure pump noisy 处理高压油泵异响,0, fuel pump油泵
02EN-040,Test the high pressure pump with machine 检测高压油泵,0, fuel pump油泵
02EN-041,Repair the high pressure pump 维修高压油泵,0, fuel pump油泵
02EN-042,Replace high pressure pump 更换高压油泵,0, fuel pump油泵
02EN-043,Fix the bolt of high pressure pump 高压油泵螺丝紧固,300, fuel pump油泵
02EN-044,Replace the fuel pump (petrol) 更换汽油泵,300, fuel pump油泵
02EN-045,Replace th injector pump 更换柴油泵,350, fuel pump油泵
02EN-046,Replace the fuel pump（within the fuel tank）更换油箱内燃油泵,350, fuel pump油泵
02EN-047,Clean the fuel pump filter 清洗油泵滤芯,350, fuel pump油泵
02EN-048,"Replace the fuel pump filter assembly（within the fuel tank）
更换油箱内燃油泵泵芯总成",350, fuel pump油泵
02EN-049,Replace the fuel pump electrical switch 更换油泵开关,350, fuel pump油泵
02EN-050,Repair the feed pump 维修手油泵,350,feed pump手油泵
02EN-051,Fix the bolt of feed pump 手油泵螺丝紧固,350,feed pump手油泵
02EN-052,Replace the feed pump 更换手油泵,350,feed pump手油泵
02EN-053,Replace the oil pump 更换机油泵,500,oil pump 机油泵
02EN-054,Remove to test the starter motor and fit it back 拆装检测启动马达,500, starter motor 启动马达
02EN-055,Repair the starter motor 维修启动马达,350, starter motor 启动马达
02EN-056,Replace the starter motor 更换启动马达,350, starter motor 启动马达
02EN-057,Replace the starter motor bolt 更换启动马达螺栓,350, starter motor 启动马达
02EN-058,Remove to test the alternator and fit it back 拆装检测发电机,350,alternator 发电机
02EN-059,Repair the alternator 维修发电机,250,alternator 发电机
02EN-060,Replace the alternator 更换发电机,250,alternator 发电机
02EN-061,Adjust the alternator belt 调校发电机皮带,300,alternator 发电机
02EN-062,Replace the alternator belt 更换发电机皮带,,alternator 发电机
02EN-063, Replace the alternator belt tensioner 更换发电机皮带张紧轮,500,alternator 发电机
02EN-064, Replace the alternator belt tensioner bearing 更换发电机皮带张紧轮轴承,300,alternator 发电机
02EN-065,Repair the pulley 维修皮带轮,0,pulley 皮带轮
02EN-066,Replace the Hydro Gear(pulley kit) 更换皮带轮套件,500,pulley 皮带轮
02EN-067,Replace the pulley bearing 更换皮带轮轴承,500,pulley 皮带轮
02EN-068,Remove the turbo charger to repair and fix it back 拆装维修涡轮增压器,0,turbo 涡轮
02EN-069,Replace the movement of turbo charger 更换涡轮增压器机芯,,turbo 涡轮
02EN-070,Replace the turbo charger 更换涡轮增压器,2500,turbo 涡轮
02EN-071,Adjust the timing belt 调节正时皮带,500,timing 正时
02EN-072,Replace the timing belt 更换正时皮带,0,timing 正时
02EN-073,Ajust the timing chain 调节正时链条,350,timing 正时
02EN-074,Replace the timing chain 更换正时链条,0,timing 正时
02EN-075,Replace timing chain guide 更换正时链条导轨,,timing 正时
02EN-076,Replace the timing gear 更换正时齿轮,0,timing 正时
02EN-077,Replace the timing kit 更换正时套件,0,timing 正时
02EN-078,Ajust the timing 调节正时,850,timing 正时
02EN-079,Remove the engine to ajust the timing and fit it back 拆装发动机调节正时,0,timing 正时
02EN-080,Replace the timing belt tentioner 更换正时组件（带端盖）,100,timing 正时
02EN-081,Replace timing cover 更换正时盖,,
02EN-082,Replace timing cover gasket 更换正时盖垫,,
02EN-083,Remove the fuel tank and fit back 拆装油箱,0,fuel tank 油箱
02EN-084,Clean the fuel tank 清洗油箱,300,fuel tank 油箱
02EN-085,Clean the fuel gauge 清洗电子油尺,850,fuel tank 油箱
02EN-086,Replace the fuel gauge 更换电子油尺,300,fuel tank 油箱
02EN-087,Clean the fueL pump and fuel system 清理油泵和油路系统,100,fuel tank 油箱
02EN-088,Fuel system cleaning 油路系统清洁,500,fuel tank 油箱
02EN-089,Repair the fuel leakage of fuel tank 维修油箱漏油,300,fuel tank 油箱
02EN-090,Clean the intercooler 清洗中冷箱,300,intercooler 中冷箱
02EN-091,Replace the intercooler 更换中冷箱,300,intercooler 中冷箱
02EN-092,Remove to clean three-way catalysis and fix it back 拆装清洗三元催化,500,three-way catalysis 三元催化
02EN-093,Unblock three-way catalysis 疏通三元催化,500,three-way catalysis 三元催化
02EN-094,Cutting to remove the exhaust pipe and welding to fix it back 拆装焊接排气管,,exhaust 排气管
02EN-095,Repair the exhaust pipe 维修排气管,300,exhaust 排气管
02EN-096,Modification and welding of exhaust pipe 排气管改装焊接,350,exhaust 排气管
02EN-097,Replace the flaxible pipe 更换排气管金属软喉,500,exhaust 排气管
02EN-098,Remove the engine complete and fit it back 拆装发动机总成,,
02EN-099,Replace the engine complete 更换发动机总成,100,engine 发动机
02EN-100,Dismantle the engine and fit it back 发动机拆解组装,,engine 发动机
02EN-101,"Dismantle the old engine and fix the useful parts to the new engine
拆解旧发动机并将有用附件组装至新发动机",300,engine 发动机
02EN-102,Clean the engine parts 清洗发动机零件,350,engine 发动机
02EN-103,Clean the engine surface 发动机外部清洗,400,engine 发动机
02EN-104,Engine flush and lubrication system cleaning 发动机内部及润滑系统清洗,100,engine 发动机
02EN-105,Engine treatment 发动机深度养护,350,engine 发动机
02EN-106,Replace the pistons 更换活塞,300,piston 活塞
02EN-107,Replace the piston sleeves 更换活塞套筒,1200,piston 活塞
02EN-108,Replace the piston rings 更换活塞环,400,piston 活塞
02EN-109,Replace the piston connecting rod 更换活塞连杆,350,piston 活塞
02EN-110,Resleeve the block sleeves 磨缸套,350,piston cylinder 缸套
02EN-111,Replace the piston cylinder 换缸套,300,piston cylinder 缸套
02EN-112,Grinding the valves 磨气门,1200,valves 气门
02EN-113,Grinding the piston cylinder 磨缸套,350,piston cylinder 缸套
02EN-114,Replace the intake valves 更换进气门,350,valves 气门
02EN-115,Replace the exhaust valves 更换排气门,1500,valves 气门
02EN-116,Replace the valve seals 更换气门油封,300,valves 气门
02EN-117,Replace valve lifters 更换气门顶杆,350,valves 气门
02EN-118,Replace valve tubes 更换气门筒,350,valves 气门
02EN-119,Replace the overhaul gasket 更换大修包,200,overhaul gasket 大修包
02EN-120,Dismantle to examine the cylinder 拆装检修汽缸床,1500,cylinder 汽缸
02EN-121,Skiming the cylinder 维修汽缸床,200,cylinder 汽缸
02EN-122,Grinding the cylinder head 磨缸盖,350,cylinder 汽缸
02EN-123,Replace the cylinder head gasket 更换汽缸垫,350,cylinder 汽缸
02EN-124,Skiming the cylinder 磨汽缸床,200,cylinder 汽缸
02EN-125,Replace the cylinder head 更换汽缸头,350,cylinder 汽缸
02EN-126,Replace the cylinder 更换汽缸床,200,cylinder 汽缸
02EN-127,Replace the cylinder head bolt 更换汽缸床螺杆,400,cylinder 汽缸
02EN-128,Repair the tapet cover leakage 维修气门室盖漏油,350,tapet 气门室盖
02EN-129,Remove to clean the tapet cover seal 拆装清洗气门室盖垫,350,tapet 气门室盖
02EN-130,Replace the tappet cover seal 更换气门室盖垫,350,tapet 气门室盖
02EN-131,Replace the tappet seal 更换气门室盖油封,,tapet 气门室盖
02EN-132,Replace the tappet cover 更换气门室盖,400,tapet 气门室盖
02EN-133,Remove to clean the intake pipe and fit it back 拆装清洗进气管,3000,intake 进气管
02EN-134,Remove to clean the intake manifold and fit it back 拆装清洗进气歧管,350,intake 进气管
02EN-135,Replace the main bearing 更换大瓦,2500,bearing 轴瓦
02EN-136,Replace the conrod bearing 更换小瓦,,bearing 轴瓦
02EN-137,Grinding the crankshaft 磨曲轴,400,crankshaft 曲轴
02EN-138,Replace the crankshaft 更换曲轴,3000,crankshaft 曲轴
02EN-139,Replace the crankshaft arm 更换曲轴摇臂,450,crankshaft 曲轴
02EN-140,Replace crankshaft thrust washers 更换曲轴止退片,2500,crankshaft 曲轴
02EN-141,Replace front crankshaft seal 更换曲轴前油封,400,crankshaft 曲轴
02EN-142,Replace rear crankshaft seal 更换曲轴后油封,400,crankshaft 曲轴
02EN-143,Replace crankshaft pully and targ 更换曲轴皮带轮和定位销,450,crankshaft 曲轴
02EN-144,Replace the camshaft 更换凸轮轴,450,camshaft 凸轮轴
02EN-145,Replace the camshaft seal 更换凸轮轴油封,500,camshaft 凸轮轴
02EN-146,Replace the rocker shaft 更换凸轮轴抱瓦,400,camshaft 凸轮轴
02EN-147,Replace balancing shaft case 更换平衡轴支架总成,450,balance平衡轴
02EN-148,Adjust the engine balance shaft 调节发动机平衡轴,450,balance平衡轴
02EN-149,Replace balancing shaft ricker 更换平衡轴轴套,500,balance平衡轴
02EN-150,Remove to clean the EGR valve 拆装清洗废气阀,500,EGR 废弃阀
02EN-151,Replace the EGR valve 更换废气阀,300,EGR 废弃阀
02EN-152,Replace front engine mounting 更换前发动机机脚胶,450,mounting 机脚胶
02EN-153,Replace left engine mounting (Front puller) 更换发动机左机脚胶(前驱),2500,mounting 机脚胶
02EN-154,Replace right engine mounting (Front puller) 更换发动机右机脚胶(前驱),500,mounting 机脚胶
02EN-155,Replace left engine mounting (Rear puller) 更换发动机左机脚胶(后驱),500,mounting 机脚胶
02EN-156,Replace right engine mounting (Rear puller) 更换发动机右机脚胶(后驱),300,mounting 机脚胶
02EN-157,Replace gearbox mounting (Front puller) 更换变速箱机脚胶(前驱),500,mounting 机脚胶
02EN-158,Replace gearbox mounting (Rear puller)更换变速箱机脚胶(后驱),2500,gera mount变速箱机脚胶
02EN-159,Rrplace the mounting bracket 更换机脚胶支架,200,gera mount变速箱机脚胶
02EN-160,Replace gearbox mounting bush 更换变速箱机脚胶胶芯,500,gera mount变速箱机脚胶
02EN-161,Adjust the idle speed 调怠速,300,
02EN-162,Clean the engine compartment 清理发动机舱,500,
02EN-163,Replace the washers 更换垫片,300,
02EN-164,Modify the electronic pump to a manual pump 改电控油泵为手动机械泵,200,
02EN-165,Repair the dark smoke and blue smoke of engine 维修发动机冒黑烟，冒蓝烟,,
02EN-166,Replace the wire plug of injectors 更换喷油嘴线束插头,,
02EN-167,Repair  the engine was leaking air 维修发动机漏气,,
03EL-001,Scan and clear fault codes with diagnostic tool 解码器检测并清除故障码,180,codes 清码
03EL-002,Replace the key battery 更换钥匙纽扣电池,180,battery 电池
03EL-003,Replace the new battery 更换新电瓶,50,battery 电瓶
03EL-004,Fix the battery 固定电瓶,50,battery 电瓶
03EL-005,Clean and fix the battery terminals 清洗紧固电瓶夹,50,battery 电瓶
03EL-006,Replace the battery terminals更换电瓶夹,50,battery 电瓶
03EL-007,Replace the power cable 更换搭铁线,50,battery 电瓶
03EL-008,Replace the cable connector 更换铜线耳,50,battery 电瓶
03EL-009,Repair the circuit of battery terminals 维修电瓶桩头线路,50,battery 电瓶
03EL-010,Remove to test and clean the spark plugs and fit them back 拆装检测清洗火花塞,50,spark plugs火花塞
03EL-011,Replace the spark plugs 更换火花塞,50,spark plugs火花塞
03EL-012,Install the heater plug switch 加装预热赛开关,50,heater plug 预热赛
03EL-013,Replace the heater plugs 更换预热塞,50,heater plug 预热赛
03EL-014,Remove to test and clean the ignition coils and fit them back 拆装检测清洗点火线圈,50, ignition coils 点火线圈
03EL-015,Replace the ignition coils 更换点火线圈,50, ignition coils 点火线圈
03EL-016,Replace the ignition cable 更换点火线,50, ignition coils 点火线
03EL-017,Repair the fault relay 维修故障继电器,150,relay 继电器
03EL-018,Replace the relpay 更换继电器,150,relay 继电器
03EL-019,Replace the fuse 更换保险,250,fuse 保险
03EL-020,Repair the fuse box circuit 维修保险线路,,
03EL-021,Repair the fuse box 维修保险盒,250,fuse 保险
03EL-022,Replace the fuse box 更换保险盒,200,fuse 保险
03EL-023,Repair the Cig-fuse 维修点烟器,200,fuse 保险
03EL-024,Replace the Cig fuse更换点烟器,300,fuse 保险
03EL-025,Test the ECU 检测发动机电脑版,300,ECU 电脑版
03EL-026,Replace the ECU 更换发动机电脑版,300,ECU 电脑版
03EL-027,Match alarm chip and engine control program 匹配防盗芯片和发动机控制程序,300,ECU 电脑版
03EL-028,Test the steering control model 检测方向机电脑版,350,ECU 电脑版
03EL-029,Replace the steering control model 更换方向机电脑版,350,ECU 电脑版
03EL-030,Test the BCM 检测车身电脑版,300,ECU 电脑版
03EL-031,Replace the BCM 更换车身电脑版,300,ECU 电脑版
03EL-032,Replace the A/C computer box 更换空调电脑版,300,ECU 电脑版
03EL-033,Repair the A/C control model 维修空调控制面板,300,ECU 电脑版
03EL-034,Replace the A/C control model 更换空调控制面板,150,ECU 电脑版
03EL-035,Repair the control model of lights 维修灯光控制板,150,ECU 电脑版
03EL-036,Computer testing and programming 电脑检测并写程序,50,program 程序
03EL-037,Repair and reset the computer box 维修电脑版并重写程序,50,program 程序
03EL-038,Reset the oil-water separator 复位油水分离器,50,program 程序
03EL-039,"Set and match the codes with computer (injector compensation codes)
电脑写码（喷油器补偿码）",50,program 程序
03EL-040,Repair the cucirt of ABS 检修ABS线路,850,ABS传感器
03EL-041,Repair the FL ABS sensor 维修左前ABS传感器,850,ABS传感器
03EL-042,Repair the FR ABS sensor 维修右前ABS传感器,500,ABS传感器
03EL-043,Repair the RL ABS sensor 维修左后ABS传感器,500,ABS传感器
03EL-044,Repair the RR ABS sensor 维修右后ABS传感器,150,ABS传感器
03EL-045,Replace FL the ABS sensor 更换左前ABS传感器,150,ABS传感器
03EL-046,Replace FR the ABS sensor 更换右前ABS传感器,100,ABS传感器
03EL-047,Replace RL the ABS sensor 更换左后ABS传感器,100,ABS传感器
03EL-048,Replace RR the ABS sensor 更换右后ABS传感器,500,ABS传感器
03EL-049,Replace FL the ABS seal 更换左前ABS油封,500,ABS传感器
03EL-050,Replace FR the ABS seal 更换右前ABS油封,650,ABS传感器
03EL-051,Replace RL the ABS seal 更换左后ABS油封,650,ABS传感器
03EL-052,Replace RR the ABS seal 更换右后ABS油封,2000,ABS传感器
03EL-053,Remove to test & clean the front oxygen sensor and fit it back 拆装检测清洗前氧传感器,2000,sensor 传感器
03EL-054,Remove to test & clean the rear oxygen sensor and fit it back 拆装检测清洗后氧传感器,500,sensor 传感器
03EL-055,Repair the front oxygen sensor 维修前氧传感器,,
03EL-056,Repair the rear oxygen sensor 维修后氧传感器,,
03EL-057,Replace front oxygen sensor 更换前氧传感器,500,sensor 传感器
03EL-058,Replace rear oxygen sensor 更换后氧传感器,650,sensor 传感器
03EL-059,Remove to test and clean crankshaft sensor 拆装检测清洗曲轴位置传感器,650,sensor 传感器
03EL-060,Replace the crankshaft sensor更换曲轴位置传感器,500,sensor 传感器
03EL-061,Remove to test and clean camshaft sensor 拆装检测清洗凸轮轴位置传感器,500,sensor 传感器
03EL-062,Replace the camshaft sensor更换凸轮轴位置传感器,650,sensor 传感器
03EL-063,Replace the oil pressure sensor更换机油压力传感器,650,sensor 传感器
03EL-064,Replace the knocking sensor 更换爆震传感器,650,sensor 传感器
03EL-065,Replace the coolant temperature sensor 更换冷却液温度传感器,650,sensor 传感器
03EL-066,Replace the gearbox sensor更换变速箱传感器,650,sensor 传感器
03EL-067,Replace the electronic thermostat 更换电子节温器,650,sensor 传感器
03EL-068,Repair the cabin sensor 维修车厢位置传感器,650,sensor 传感器
03EL-069,Replace the cabin sensor 更换车厢位置传感器,650,sensor 传感器
03EL-070,Replace the radar sensor 更换雷达传感器,,sensor 传感器
03EL-071,Remove to test & clean the air flow sensor and fit it back 拆装检测清洗空气流量计,,sensor 传感器
03EL-072,Replace the air flow sensor 更换空气流量计,1500,sensor 传感器
03EL-073,Replace the oil level sensor 更换油底壳传感器,1500,sensor 传感器
03EL-074,Match the keys 匹配钥匙,2000,key 钥匙
03EL-075,Replacing the Front temperature sensor(out) 更换前室外温度传感器,2000,sensor 传感器
03EL-076,Dismantle and replace the ignition lock 拆装更换钥匙点火锁,300,key 钥匙
03EL-077,Dismantle and replace the FL door key 拆装更换左前门钥匙,300,key 钥匙
03EL-078,Dismantle and replace the FR door key 拆装更换右前门钥匙,2000,key 钥匙
03EL-079,Repair the dash lock 维修中控锁,2000,dash 中控
03EL-080,Replace the dash control model 更换中控模块,350,dash 中控
03EL-081,Overhaul the engine circuits 检修发动机线路,350,circuit 线路
03EL-079,Overhaul the engine circuit of fuel injection 检修发动机喷油电路,350,circuit 线路
03EL-080,Correct the connection of the circuits 更正线路连接,350,circuit 线路
03EL-081,Overhaul the circuit of engine control box 检修发动机控制盒线路,350,circuit 线路
03EL-082,Repair the electrical cables of starter motor 维修启动马达线路,350,circuit 线路
03EL-083,Repair the electrical cables of gearbox 维修变速箱线路,350,circuit 线路
03EL-084,Repair the circuit of injectors 清理喷油嘴控制电路,350,circuit 线路
03EL-085,Repair the high pressure pump socket 维修高压油泵线路,350,circuit 线路
03EL-086,Repair the circuit of tailgate switch 维修尾门开关电路,350,circuit 线路
03EL-087,Repair the circuit of fuel gauge 维修油表线路,300,circuit 线路
03EL-088,Remove the dashboarb to overhaul the circuit and fix it back 拆装仪表台检修线路,300,circuit 线路
03EL-089,Overhaul air conditioning circuit 空调电路检修,300,circuit 线路
03EL-090,Detection of the start fault 检测启动故障,300,circuit 线路
03EL-091,Dealing with the interior and wiring 内饰及线路维修整理,300,circuit 线路
03EL-092,Repair the circuit of rearview mirror 检修后视镜电路,300,mirror 后视镜
03EL-093,Repair the circuit of FL mirror 检修左前后视镜线路,300,mirror 后视镜
03EL-094,Repair the circuit of FR mirror 检修右前后视镜线路,300,mirror 后视镜
03EL-095,Overhaul the circuit of lights 检修灯光电路,300,light 灯光
03EL-096,Repair the sensor of FL headlamp 维修左前大灯感应器,300,light 灯光
03EL-097,Repair the sensor of FR headlamp 维修右前大灯感应器,300,light 灯光
03EL-098,Repair the circuit of FL headlamp 维修左前大灯线路,300,light 灯光
03EL-099,Repair the circuit of FR headlamp 维修右前大灯线路,300,light 灯光
03EL-100,Check the radio 检修音响,300,radio 音响
03EL-101,Check the original circuit of radio and speaker 检测原车音响和喇叭线路,300,radio 音响
03EL-102,Check and repair the circuit of FL radio and speaker 检测维修左前门音响和喇叭线路,300,radio 音响
03EL-103,Check and repair the circuit of FR radio and speaker 检测维修右前门音响和喇叭线路,350,radio 音响
03EL-104,Check and repair the circuit of RL radio and speaker 检测维修左后门音响和喇叭线路,350,radio 音响
03EL-105,Check and repair the circuit of RR radio and speaker 检测维修右后门音响和喇叭线路,350,radio 音响
03EL-106,Repair the timing spring 维修气囊游丝,350,horn 喇叭
03EL-107,Replace the timing spring 更换气囊游丝,300,horn 喇叭
03EL-108,Replace the mono horn 更换单音喇叭,300,horn 喇叭
03EL-109,Replace the snail horn 更换蜗牛喇叭,300,horn 喇叭
03EL-110,Repair the circuit of hooter 维修喇叭线路,300,horn 喇叭
03EL-111,Install the hooter switch 加装喇叭开关,350,horn 喇叭
03EL-112,Repair the lock circuit of FL door 检修左前门锁电路,350,door 门锁电路
03EL-113,Repair the lock circuit of FR door 检修右前门锁电路,350,door 门锁电路
03EL-114,Repair the lock circuit of RL door 检修左后门锁电路,350,door 门锁电路
03EL-115,Repair the lock circuit of RR door 检修右后门锁电路,350,door 门锁电路
